row_id,timestamp,close,return,anomaly_zscore,anomaly_kmeans,anomaly_rf,anomaly_gmm,votes,final_label
609,2026-01-12T14:00:00.000Z,90908.95,0.30113858719067466,0,0,0,0,0,Normal
610,2026-01-12T15:00:00.000Z,91665.0,0.8316562890672508,0,0,0,0,0,Normal
611,2026-01-12T16:00:00.000Z,92123.52,0.5002127311405813,0,0,0,0,0,Normal
612,2026-01-12T17:00:00.000Z,91522.83,-0.6520484671015625,0,0,0,0,0,Normal
613,2026-01-12T18:00:00.000Z,91691.8,0.1846206023131014,0,0,0,0,0,Normal
614,2026-01-12T19:00:00.000Z,91861.27,0.18482568779323305,0,0,0,0,0,Normal
615,2026-01-12T20:00:00.000Z,91484.86,-0.40975919448968945,0,0,0,0,0,Normal
616,2026-01-12T21:00:00.000Z,91055.17,-0.4696842734415285,0,0,0,0,0,Normal
617,2026-01-12T22:00:00.000Z,91244.99,0.20846702059862388,0,0,0,0,0,Normal
618,2026-01-12T23:00:00.000Z,91296.2,0.05612362936309179,0,0,0,0,0,Normal
619,2026-01-13T00:00:00.000Z,91482.74,0.2043239477656389,0,0,0,0,0,Normal
620,2026-01-13T01:00:00.000Z,91185.35,-0.3250777141130645,0,0,0,0,0,Normal
621,2026-01-13T02:00:00.000Z,91118.3,-0.07353154865338274,0,0,0,0,0,Normal
622,2026-01-13T03:00:00.000Z,91408.91,0.31893703021237396,0,0,0,0,0,Normal
623,2026-01-13T04:00:00.000Z,91515.16,0.1162359336742913,0,0,0,0,0,Normal
624,2026-01-13T05:00:00.000Z,91920.99,0.4434565814013691,0,0,0,0,0,Normal
625,2026-01-13T06:00:00.000Z,92184.36,0.28651780186439435,0,0,0,0,0,Normal
626,2026-01-13T07:00:00.000Z,91942.0,-0.2629079379625754,0,0,0,0,0,Normal
627,2026-01-13T08:00:00.000Z,92165.9,0.24352309064410438,0,0,0,0,0,Normal
628,2026-01-13T09:00:00.000Z,92269.42,0.11231919831522497,0,0,0,0,0,Normal
629,2026-01-13T10:00:00.000Z,92128.62,-0.152596602427979,0,0,0,0,0,Normal
630,2026-01-13T11:00:00.000Z,92000.74,-0.1388059432562705,0,0,0,0,0,Normal
631,2026-01-13T12:00:00.000Z,92109.35,0.11805339826613803,0,0,0,0,0,Normal
632,2026-01-13T13:00:00.000Z,92076.12,-0.03607668494024496,1,1,0,0,2,ANOMALY
633,2026-01-13T14:00:00.000Z,92462.03,0.419120614552404,0,0,0,0,0,Normal
634,2026-01-13T15:00:00.000Z,93449.99,1.0685034711005237,0,0,0,0,0,Normal
635,2026-01-13T16:00:00.000Z,93389.63,-0.06459069712045906,0,0,0,0,0,Normal
636,2026-01-13T17:00:00.000Z,93241.99,-0.1580903575696735,0,0,0,0,0,Normal
637,2026-01-13T18:00:00.000Z,93633.71,0.4201111537838198,0,0,0,0,0,Normal
638,2026-01-13T19:00:00.000Z,94226.84,0.6334577578950951,0,0,0,0,0,Normal
639,2026-01-13T20:00:00.000Z,94408.7,0.19300233351771112,0,0,0,0,0,Normal
640,2026-01-13T21:00:00.000Z,94087.23,-0.34050887259331475,0,0,0,0,0,Normal
641,2026-01-13T22:00:00.000Z,95757.21,1.7749273732471593,1,1,1,0,3,ANOMALY
642,2026-01-13T23:00:00.000Z,95414.0,-0.3584168753454797,0,0,0,0,0,Normal
643,2026-01-14T00:00:00.000Z,95236.84,-0.18567505816756702,0,0,0,0,0,Normal
644,2026-01-14T01:00:00.000Z,95245.6,0.009198121231257517,0,0,0,0,0,Normal
645,2026-01-14T02:00:00.000Z,95347.46,0.10694457276767544,0,0,0,0,0,Normal
